Specimen,ScanSite,Volume,MEAN_BMC,Reference
8402,DN8,2.939,2.52,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,DN1,6.261,5.37,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,DN2,10.973,6.83,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,DN3,11.684,7.46,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,DN4,18.517,8.66,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,DN5,27.381,13.08,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,DN6,18.326,12.47,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,DN7,11.278,8.59,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8529,DN8,4.191,2.83,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8506,DN1,7.779,3.37,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8506,DN2,7.315,5.2,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8506,DN3,8.636,6,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8506,DN5,21.615,10.16,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8506,DN6,17.069,9.5,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8506,DN7,8.674,7.45,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8506,DN8,2.675,1.6,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8500,DN1,8.197,3.58,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8500,DN2,7.963,4.99,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8500,DN3,9.601,6.4,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8500,DN5,25.375,12.84,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8500,DN6,16.51,10.97,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8500,DN7,8.801,7.88,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8500,DN8,2.946,2.09,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8331,DN1,6.998,3.84,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8331,DN2,9.931,5.75,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8331,DN3,10.795,5.88,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8331,DN5,24.994,12.18,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8331,DN6,17.907,10.87,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8331,DN7,12.598,9.52,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
8331,DN8,3.556,3,"Kreutzer LA (1992) Taphonomy of the Mill Iron, Montana (24CT30) Bison Bone Bed. Unpublished PhD disseration, University of Washington, Seattle."
